Titulo;Autor;Interprete;Tom;Categoria;Categoria rotulo;Link da letra;Link da cifra;Link de referencia;Observacao;Ativo
SENHOR TENDE PIEDADE;Campanha da Fraternidade 2015;Campanha da Fraternidade 2015;D;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / Quaresma;Sim
SENHOR TENDE PIEDADE E PERDOAI A NOSSA CULPA;Padre Marcelo Rossi;Padre Marcelo Rossi;;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/padre-marcelo-rossi/senhor-tende-piedade-e-perdoai-a-nossa-culpa/;https://www.cifraclub.com.br/padre-marcelo-rossi/senhor-tende-piedade-e-perdoai-a-nossa-culpa/;;Ato penitencial / reconciliação;Sim
SENHOR, MEU DEUS, QUANDO EU MARAVILHADO;"Adaptação de How Great Thou Art; melodia tradicional sueca";CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/senhor-meu-deus-quando-eu-maravilhado/;https://www.cifraclub.com.br/cnbb/senhor-meu-deus-quando-eu-maravilhado/;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+SENHOR%2C+MEU+DEUS%2C+QUANDO+EU+MARAVILHADO;Canto final / Santíssima Trindade / louvor final;Sim
SENHOR, TENDE PIEDADE DE NÓS;Léo Mantovani;Léo Mantovani;D;ATO_PENITENCIAL;Ato Penitencial;;;;Ato penitencial / reconciliação;Sim
SENHOR, VEM DAR-NOS SABEDORIA;"Ir. Míria T. Kolling; Pe. Lúcio Floro";CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/senhor-vem-dar-nos-sabedoria/;https://www.cifraclub.com.br/cnbb/senhor-vem-dar-nos-sabedoria/;https://www.youtube.com/watch?v=_U7vorWxnXw;Pentecostes / Comunhão / dons do Espírito;Sim
SEQUÊNCIA DE PENTECOSTES - VINDE, ESPÍRITO DIVINO;Sequência litúrgica de Pentecostes;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/sequencia-de-pentecostes-vinde-espirito-divino/;https://www.cifraclub.com.br/cnbb/sequencia-de-pentecostes-vinde-espirito-divino/;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+SEQU%C3%8ANCIA+DE+PENTECOSTES+-+VINDE%2C+ESP%C3%8DRITO+DIVINO;Pentecostes / sequência litúrgica Veni Sancte Spiritus;Sim
SUSCITAI, Ó SENHOR DEUS;Fr. Joel Postma;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/suscitai-o-senhor-deus/;https://www.cifraclub.com.br/cnbb/suscitai-o-senhor-deus/;https://www.youtube.com/watch?v=S6MSn1NN0po;Apresentação das oferendas / Pentecostes;Sim
SÃO FILHOS DE DEUS;"Reginaldo Veloso; José Américo Lacerda Jr.; Geraldo Leite Bastos";CNBB / Música Litúrgica;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/sao-filhos-de-deus/;https://www.cifraclub.com.br/cnbb/sao-filhos-de-deus/;https://www.youtube.com/watch?v=v-hSpzp-na8;Comunhão / Santíssima Trindade / Gl 4,6;Sim
SÚPLICA AO ESPÍRITO SANTO;Frei Luiz Turra;Frei Luiz Turra;;ESPIRITO_SANTO;Espírito Santo;;;https://www.youtube.com/watch?v=fOKcVXWNszE;Pentecostes / súplica ao Espírito Santo;Sim
TANTO DEUS AMOU O MUNDO;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Jo 3,16;Sim
TENDE COMPAIXÃO DE NÓS, SENHOR;"Missal Romano; Frei José Luiz Prim OFM";CNBB - Setor Música Litúrgica;C;ATO_PENITENCIAL;Ato Penitencial;https://www.cifraclub.com.br/cnbb/tende-compaixao-de-nos-senhor/;https://www.cifraclub.com.br/cnbb/tende-compaixao-de-nos-senhor/;;Ato penitencial / 2ª fórmula / Quaresma;Sim
TODO O QUE VIVE E CRÊ EM MIM;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;;Comunhão / Exaltação da Santa Cruz / Jo 11,26;Sim
TODOS FICARAM CHEIOS;Frei Wanderson Freitas;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/todos-ficaram-cheios/;https://www.cifraclub.com.br/cnbb/todos-ficaram-cheios/;https://www.youtube.com/watch?v=_gEnacvnn5Y;Pentecostes / Comunhão;Sim
TODOS FICARAM CHEIOS DO ESPÍRITO SANTO;Frei Joel Postma, OFM;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/todos-ficaram-cheios-do-espirito-santo/;https://www.cifraclub.com.br/cnbb/todos-ficaram-cheios-do-espirito-santo/;https://www.youtube.com/watch?v=qDXYr0efhaA;Pentecostes / Comunhão;Sim
TOTUS TUUS;Comunidade Católica Shalom;Comunidade Católica Shalom;;MARIANA;Mariana;https://www.cifraclub.com.br/comunidade-catolica-shalom/totus-tuus/;https://www.cifraclub.com.br/comunidade-catolica-shalom/totus-tuus/;https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+TOTUS+TUUS;Mariana / consagração a Nossa Senhora;Sim
TUDO O QUE É DO PAI, TAMBÉM É MEU;Pe. José Weber, SVD;Pe. José Weber, SVD;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=8LbG53_aVLw;Comunhão / Santíssima Trindade / Jo 16,15;Sim
UM CERTO GALILEU - MARIA DE NAZARÉ;Pe. Zezinho, SCJ;Padre Zezinho;;MARIANA;Mariana;https://www.cifraclub.com.br/padre-zezinho/um-certo-galileu-maria-de-nazare/;https://www.cifraclub.com.br/padre-zezinho/um-certo-galileu-maria-de-nazare/;https://www.youtube.com/results?search_query=Padre+Zezinho+UM+CERTO+GALILEU+-+MARIA+DE+NAZAR%C3%89;Mariana / contemplação de Maria de Nazaré;Sim
UM CÁLICE FOI LEVANTADO;Reginaldo Veloso;Reginaldo Veloso;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=1rRKBzmG0xI;Comunhão / cálice e ação de graças / Hinário Litúrgico da CNBB;Sim
UM MENINO NASCEU PARA NÓS;;;;ENTRADA;Entrada;;;;Entrada / Natal - Missa do Dia;Sim
VAMOS TODOS LOUVAR JUNTOS;"São Tomás de Aquino; Missal Romano; música: Ir. Míria T. Kolling";Ir. Míria T. Kolling;;FINAL;Final;https://www.cifraclub.com.br/irma-miria-t-kolling/vamos-todos-louvar-juntos/;https://www.cifraclub.com.br/irma-miria-t-kolling/vamos-todos-louvar-juntos/;https://www.youtube.com/watch?v=2wXJeC2O9AQ;Louvor final / Corpus Christi / adoração e procissão;Sim
VAMOS TODOS LOUVAR JUNTOS - FREI TELLES;"São Tomás de Aquino; Missal Romano; música: Frei Telles Ramon, O. de M.";Frei Telles Ramon, O. de M.;;FINAL;Final;;;https://www.youtube.com/watch?v=VdWDDJ2MWzo;Louvor final / Corpus Christi / adoração e procissão;Sim
VEM E NÃO DEMORES;Estevão Bruyland;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/vem-e-nao-demores/;https://www.cifraclub.com.br/cnbb/vem-e-nao-demores/;https://www.youtube.com/watch?v=J4tr5vjOenw;Pentecostes / súplica ao Espírito Santo;Sim
VEM SANTÍSSIMA TRINDADE;José Acácio;José Acácio;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=B9JYvqMVnC8;Entrada / Santíssima Trindade;Sim
VEM, ESPÍRITO DE AMOR;Ministério Amor e Adoração;Ministério Amor e Adoração;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/vem-espirito-de-amor/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/vem-espirito-de-amor/;https://www.youtube.com/results?search_query=Minist%C3%A9rio+Amor+e+Adora%C3%A7%C3%A3o+VEM%2C+ESP%C3%8DRITO+DE+AMOR;Invocação ao Espírito Santo / amor de Deus;Sim
VEM, ESPÍRITO DE DEUS;Repertório católico;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/vem-espirito-de-deus/;https://www.cifraclub.com.br/catolicas/vem-espirito-de-deus/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+VEM%2C+ESP%C3%8DRITO+DE+DEUS;Invocação ao Espírito Santo;Sim
VEM, ESPÍRITO DE LUZ;"André Zamur; Pe. Lúcio Floro";CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/vem-espirito-de-luz/;https://www.cifraclub.com.br/cnbb/vem-espirito-de-luz/;https://www.youtube.com/watch?v=QKUQ-XR4MsU;Canto final / Pentecostes;Sim
VEM, ESPÍRITO SANTO, VEM;Repertório católico;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/vem-espirito-santo-vem/;https://www.cifraclub.com.br/catolicas/vem-espirito-santo-vem/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+VEM%2C+ESP%C3%8DRITO+SANTO%2C+VEM;Invocação ao Espírito Santo;Sim
VEM, ESPÍRITO SANTO, VEM!;D.R.;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/vem-espirito-santo-vem/;https://www.cifraclub.com.br/cnbb/vem-espirito-santo-vem/;https://www.youtube.com/results?search_query=CNBB+%2F+M%C3%BAsica+Lit%C3%BArgica+VEM%2C+ESP%C3%8DRITO+SANTO%2C+VEM%21;Canto final / Pentecostes;Sim
VENHAM TODOS PARA A CEIA DO SENHOR;Dom Carlos A.;Dom Carlos A.;;ENTRADA;Entrada;;;;Entrada / Corpus Christi;Sim
VINDE, ESPÍRITO SANTO;Repertório católico tradicional;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/vinde-espirito-santo/;https://www.cifraclub.com.br/catolicas/vinde-espirito-santo/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+VINDE%2C+ESP%C3%8DRITO+SANTO;Invocação ao Espírito Santo;Sim
VINDE, ESPÍRITO SANTO, ENCHEI OS CORAÇÕES;Repertório católico tradicional;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/vinde-espirito-santo-enchei-os-coracoes/;https://www.cifraclub.com.br/catolicas/vinde-espirito-santo-enchei-os-coracoes/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+VINDE%2C+ESP%C3%8DRITO+SANTO%2C+ENCHEI+OS+CORA%C3%87%C3%95ES;Invocação tradicional ao Espírito Santo;Sim
VINDE, Ó ESPÍRITO SANTO;Sequência litúrgica / repertório católico;Músicas Católicas;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/catolicas/vinde-o-espirito-santo/;https://www.cifraclub.com.br/catolicas/vinde-o-espirito-santo/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+VINDE%2C+%C3%93+ESP%C3%8DRITO+SANTO;Pentecostes / sequência e invocação;Sim
VINDES TODOS ADOREMOS;Ministério Amor e Adoração;Ministério Amor e Adoração;;ADORACAO;Adoração;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/vindes-todos-adoremos/;https://www.cifraclub.com.br/ministerio-amor-e-adoracao/vindes-todos-adoremos/;https://www.youtube.com/results?search_query=Minist%C3%A9rio+Amor+e+Adora%C3%A7%C3%A3o+VINDES+TODOS+ADOREMOS;Adoração / convite à adoração;Sim
VIVA A MÃE DE DEUS E NOSSA;Repertório católico tradicional;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/viva-a-mae-de-deus-e-nossa/;https://www.cifraclub.com.br/catolicas/viva-a-mae-de-deus-e-nossa/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+VIVA+A+M%C3%83E+DE+DEUS+E+NOSSA;Mariana / Nossa Senhora Aparecida;Sim
VIVA CRISTO, NA HÓSTIA SAGRADA;CNBB / Música Litúrgica;CNBB / Música Litúrgica;;FINAL;Final;https://www.cifraclub.com.br/cnbb/viva-cristo-na-hostia-sagrada/;https://www.cifraclub.com.br/cnbb/viva-cristo-na-hostia-sagrada/;https://www.youtube.com/watch?v=CgYUN2Ju-1Q;Louvor final / Corpus Christi / adoração;Sim
VOCÊS SÃO DE DEUS, FILHOS;Pe. Geraldo Leite;Pe. Geraldo Leite;;COMUNHAO;Comunhão;;;https://www.youtube.com/watch?v=kQkLb16RyjY;Comunhão / Santíssima Trindade / Hinário Litúrgico da CNBB;Sim
VÓS SOIS DIGNO, SENHOR NOSSO DEUS;;;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=CUkN5uEQVo0;Entrada / Corpus Christi;Sim
VÓS SOIS O CAMINHO, A VERDADE, A VIDA;Pe. A. Vigne;CNBB / Música Litúrgica;;COMUNHAO;Comunhão;https://www.cifraclub.com.br/cnbb/vos-sois-o-caminho-a-verdade-a-vida/;https://www.cifraclub.com.br/cnbb/vos-sois-o-caminho-a-verdade-a-vida/;https://www.youtube.com/watch?v=bW0aOJBPKtc;Comunhão / Cristo caminho, verdade e vida;Sim
VÓS TODAS AS OBRAS DO SENHOR;Joseph Gelineau;Joseph Gelineau;;COMUNHAO;Comunhão;;;;Comunhão / Santos Arcanjos / Daniel 3,57-88;Sim
É COMO A CHUVA QUE LAVA;Padre Zezinho;Padre Zezinho;;ENTRADA;Entrada;https://www.cifraclub.com.br/padre-zezinho/e-como-a-chuva-que-lava/;https://www.cifraclub.com.br/padre-zezinho/e-como-a-chuva-que-lava/;;Entrada / Palavra de Deus;Sim
É GRANDE O SENHOR;"José Thomaz Filho; música: Frei Fabreti, OFM";Frei Fabreti, OFM;;OFERTORIO;Apresentação das Oferendas;;;;Apresentação das oferendas / Assunção de Nossa Senhora;Sim
Ó DEUS VIVO;Pe. José Weber;Pe. José Weber;;ENTRADA;Entrada;;;https://www.youtube.com/watch?v=fHWfyVu-pdo;Entrada / Santíssima Trindade;Sim
Ó MARIA CONCEBIDA SEM PECADO;Repertório católico tradicional;Músicas Católicas;;MARIANA;Mariana;https://www.cifraclub.com.br/catolicas/o-maria-concebida-sem-pecado/;https://www.cifraclub.com.br/catolicas/o-maria-concebida-sem-pecado/;https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+%C3%93+MARIA+CONCEBIDA+SEM+PECADO;Mariana / Imaculada Conceição;Sim
Ó PAI QUE PELO ESPÍRITO;Frei Fabreti, OFM;CNBB / Música Litúrgica;;OFERTORIO;Apresentação das Oferendas;https://www.cifraclub.com.br/cnbb/o-pai-que-pelo-espirito/;https://www.cifraclub.com.br/cnbb/o-pai-que-pelo-espirito/;https://www.youtube.com/watch?v=gOLwiuzlwoc;Apresentação das oferendas / Pentecostes;Sim
Ó VEM, DIVINO CRIADOR;Jaci Maraschin;CNBB / Música Litúrgica;;ESPIRITO_SANTO;Espírito Santo;https://www.cifraclub.com.br/cnbb/o-vem-divino-criador/;https://www.cifraclub.com.br/cnbb/o-vem-divino-criador/;https://www.youtube.com/watch?v=C7Svq83HlYE;Pentecostes / invocação ao Espírito Criador;Sim
