titulo,autor,interprete,tom,letra,cifra,link_referencia,observacao
EU CONFESSO A DEUS E A VÓS IRMÃOS,Thaylla,Músicas Católicas,Bm,https://www.cifraclub.com.br/catolicas/ato-penitencial-eu-confesso-a-deus-e-vos-irmaos/,https://www.cifraclub.com.br/catolicas/ato-penitencial-eu-confesso-a-deus-e-vos-irmaos/,"",Ato penitencial / Confiteor
EU NAVEGAREI,Canção Nova,Canção Nova,Em,https://www.cifraclub.com.br/cancao-nova/eu-navegarei/,https://www.cifraclub.com.br/cancao-nova/eu-navegarei/,https://www.youtube.com/results?search_query=Canção+Nova+Eu+Navegarei,Pós-comunhão / oração / ação de graças
EU QUERO ME APAIXONAR,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/eu-quero-me-apaixonar/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/eu-quero-me-apaixonar/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Eu+Quero+Me+Apaixonar,Pós-comunhão / oração / ação de graças
EU QUISERA,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=jpK0u7cCx60,Louvor final / Corpus Christi / adoração
EU SEGUIREI,Frei Gilson,Frei Gilson,E,https://www.letras.mus.br/frei-gilson/2757945/,https://www.cifraclub.com.br/frei-gilson/eu-seguirei/,https://www.youtube.com/watch?v=o2QQWcLE7ac,Envio / compromisso cristão
EU SEREI O AMOR,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/eu-serei-o-amor/,https://www.cifraclub.com.br/comunidade-catolica-shalom/eu-serei-o-amor/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Eu+Serei+o+Amor,Pós-comunhão / oração / ação de graças
EU SOU O PÃO,Pe. José Cândido da Silva,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=bmsE4JKdlEY,Comunhão / Pão da Vida / Hinário Litúrgico da CNBB
EU SOU O PÃO VIVO DESCIDO DO CÉU,"Pe. José Weber, SVD","Pe. José Weber, SVD","","","",https://www.youtube.com/watch?v=H1AS7mDY1ag,Comunhão / Corpus Christi / Jo 6
EU TE ADORO,Comunidade Católica Shalom,Comunidade Católica Shalom,"","","",https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+EU+TE+ADORO,Adoração / louvor
EU TE LEVANTAREI,Frei Gilson,Frei Gilson,F,https://www.letras.mus.br/frei-gilson/3002060/,https://www.cifraclub.com.br/frei-gilson/eu-te-levantarei/,"",Oração / ação de graças
EU VIM AO MUNDO DAR TESTEMUNHO,"","","","","","",Entrada / Cristo Rei
EU VOU CRER EM TI,FREI GILSON,FREI GILSON,F#,https://www.cifraclub.com.br/frei-gilson/eu-vou-crer-em-ti/,https://www.cifraclub.com.br/frei-gilson/eu-vou-crer-em-ti/,https://www.youtube.com/results?search_query=Frei+Gilson+EU+VOU+CRER+EM+TI,Fé / confiança
EUCARISTIA - DOM DE DEUS,Ir. Míria T. Kolling,Ir. Míria T. Kolling,"","","",https://www.youtube.com/watch?v=auRB0z8EC6M,Comunhão / Eucaristia
EXEMPLO DE ESPERANÇA,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/exemplo-de-esperanca/,https://www.cifraclub.com.br/davidson-silva/exemplo-de-esperanca/,https://www.youtube.com/results?search_query=Davidson+Silva+Exemplo+de+Esperança,Pós-comunhão / oração / ação de graças
EXISTE UM LOUVOR,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/existe-um-louvor/,https://www.cifraclub.com.br/davidson-silva/existe-um-louvor/,https://www.youtube.com/results?search_query=Davidson+Silva+Existe+Um+Louvor,Pós-comunhão / oração / ação de graças
FACE ADORÁVEL,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/face-adoravel/,https://www.cifraclub.com.br/comunidade-catolica-shalom/face-adoravel/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Face+Adorável,Adoração
FAZEI MEUS DISCÍPULOS,"Pe. José Weber, SVD","Pe. José Weber, SVD","","","","",Comunhão / Ascensão do Senhor
FESTA DO CORDEIRO,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/festa-do-cordeiro/,https://www.cifraclub.com.br/comunidade-catolica-shalom/festa-do-cordeiro/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Festa+do+Cordeiro,Cordeiro de Deus
FICO FELIZ EM VIR EM TUA CASA,"","","","","","",Entrada / casa do Senhor
FOGO DO CÉU,FREI GILSON,FREI GILSON,A,https://www.cifraclub.com.br/frei-gilson/fogo-do-ceu/,https://www.cifraclub.com.br/frei-gilson/fogo-do-ceu/,https://www.youtube.com/results?search_query=Frei+Gilson+FOGO+DO+C%C3%89U,Renovação / oração
FOI ELEVADA MARIA AO CÉU,Gradual Romano; música: Gílson Celerino,Gílson Celerino,"","","","",Apresentação das oferendas / Assunção de Nossa Senhora
FONTE DE TODO AMOR,Ministério Missionário Shalom,Ministério Missionário Shalom,"",https://www.cifraclub.com.br/missionario-shalom/fonte-de-todo-amor/,https://www.cifraclub.com.br/missionario-shalom/fonte-de-todo-amor/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Fonte+de+Todo+Amor,Pós-comunhão / oração / ação de graças
FONTE DE VIVER,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/fonte-de-viver/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/fonte-de-viver/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Fonte+de+Viver,Pós-comunhão / oração / ação de graças
FONTE DO CARISMA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/fonte-do-carisma/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/fonte-do-carisma/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Fonte+do+Carisma,Pós-comunhão / oração / ação de graças
FONTE DO VIVER,Carlos Eduardo Da Silva; Ana Lucia; Luciana Sitta,Ministério Amor e Adoração,G,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/fonte-do-viver/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/fonte-do-viver/,"",Comunhão / Eucaristia
"GLORIFICA O SENHOR, JERUSALÉM","Joseph Gelineau, SJ",CNBB / Música Litúrgica,"","","","",Apresentação das oferendas / Ascensão do Senhor
GLORIOSO REI,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/glorioso-rei/,https://www.cifraclub.com.br/comunidade-catolica-shalom/glorioso-rei/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Glorioso+Rei,Pós-comunhão / oração / ação de graças
GLÓRIA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/gloria/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/gloria/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Glória,Hino de louvor - Glória
GLÓRIA - MISSA PASCAL,Pe. Sílvio Milanez,Pe. Sílvio Milanez,"",https://musicasparamissa.com.br/musica/gloria-pe-silvio-milanez/,"","",Hino do Glória; Missa Pascal; texto do Missal Romano.
GLÓRIA - TEXTO OFICIAL DA MISSA,Matheus Domingues,Músicas Católicas,G,https://www.cifraclub.com.br/catolicas/gloria-texto-oficial-da-missa/,https://www.cifraclub.com.br/catolicas/gloria-texto-oficial-da-missa/,"",Hino do Glória da Missa; texto litúrgico do Ordinário.
GLÓRIA A DEUS (MISSA),Obra de Maria,Obra de Maria,D,https://www.cifraclub.com.br/obra-de-maria/gloria-a-deus-missa/,https://www.cifraclub.com.br/obra-de-maria/gloria-a-deus-missa/,"",Hino do Glória destinado à celebração da Missa.
GLÓRIA A DEUS NAS ALTURAS,Ministério Amor e Adoração,Ministério Amor e Adoração,E,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/gloria-a-deus-nas-alturas/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/gloria-a-deus-nas-alturas/,"",Hino de louvor - Glória
GLÓRIA A DEUS NAS ALTURAS (GLÓRIA),Missal Romano; Marcos R. N. Da Matta; Joel Postma,CNBB,"",https://www.cifraclub.com.br/cnbb/gloria-a-deus-nas-alturas-gloria/,https://www.cifraclub.com.br/cnbb/gloria-a-deus-nas-alturas-gloria/,"",Hino do Glória; texto do Missal Romano.
GLÓRIA A DEUS NAS ALTURAS (NA DANÇA DA VIDA) 20 ANOS,COMUNIDADE CATÓLICA SHALOM,COMUNIDADE CATÓLICA SHALOM,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/gloria-a-deus-nas-alturas-na-danca-da-vida/,https://www.cifraclub.com.br/comunidade-catolica-shalom/gloria-a-deus-nas-alturas-na-danca-da-vida/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Glória+a+Deus+Nas+Alturas+(Na+Dança+da+Vida),Hino de louvor - Glória
GLÓRIA A DEUS NAS ALTURAS (RESSUSCITOU) 30 ANOS,COMUNIDADE CATÓLICA SHALOM,COMUNIDADE CATÓLICA SHALOM,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/gloria-a-deus-nas-alturas-ressuscitou/,https://www.cifraclub.com.br/comunidade-catolica-shalom/gloria-a-deus-nas-alturas-ressuscitou/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Glória+a+Deus+Nas+Alturas+(Ressuscitou),Hino de louvor - Glória
GLÓRIA A DEUS PAI,Reginaldo Veloso,Reginaldo Veloso,"","","",https://www.youtube.com/watch?v=-8tZqNI_8Q8,Entrada / Santíssima Trindade
GLÓRIA A JESUS NA HÓSTIA SANTA,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=k9g4-oPL9M0,Louvor final / Corpus Christi / adoração
GLÓRIA A JESUS NA HÓSTIA SANTA / QUEREMOS DEUS,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/gloria-a-jesus-na-hostia-santa-queremos-deus/,https://www.cifraclub.com.br/pe-fabio-de-melo/gloria-a-jesus-na-hostia-santa-queremos-deus/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Glória+a+Jesus+Na+Hóstia+Santa+/+Queremos+Deus,Comunhão / Eucaristia
"GLÓRIA AO PAI, DOS HOMENS, DOS ANJOS",José Alves,José Alves,"","","",https://www.youtube.com/watch?v=rFSQJjk4ilw,Entrada / Santíssima Trindade
GLÓRIA E ESPLENDOR,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/gloria-e-esplendor/,https://www.cifraclub.com.br/comunidade-catolica-shalom/gloria-e-esplendor/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Glória+e+Esplendor,Pós-comunhão / oração / ação de graças
GLÓRIA LITÚRGICO,Flavio Fonseca,Flavio Fonseca,E,https://www.cifraclub.com.br/flavio-fonseca/canto-liturgico-de-gloria/,https://www.cifraclub.com.br/flavio-fonseca/canto-liturgico-de-gloria/,"",Hino do Glória da Missa; texto litúrgico.
"GLÓRIA, AO PAI CRIADOR",Gustavo Balbinot,Gustavo Balbinot,"","","",https://www.youtube.com/watch?v=uzaLHnvcaH4,Entrada / Santíssima Trindade
GRANDE É TEU AMOR,Frei Gilson,Frei Gilson,C#m,https://www.cifraclub.com.br/frei-gilson/grande-e-teu-amor/,https://www.cifraclub.com.br/frei-gilson/grande-e-teu-amor/,https://www.youtube.com/results?search_query=Frei+Gilson+GRANDE+%C3%89+TEU+AMOR,Amor de Deus / louvor
GRANDE ÉS,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/grande-es/,https://www.cifraclub.com.br/comunidade-catolica-shalom/grande-es/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Grande+És,Pós-comunhão / oração / ação de graças
"GRAÇAS VOS DOU, SENHOR","Frei Wanderson Luiz Freitas, O.Carm.","Frei Wanderson Luiz Freitas, O.Carm.","","","","",Comunhão / Santos Arcanjos / Salmo 137
GUARDIÕES,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/guardioes/,https://www.cifraclub.com.br/adriana/guardioes/,https://www.youtube.com/results?search_query=Adriana+Arydes+Guardiões,Pós-comunhão / oração / ação de graças
HALLELUJAH,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/hallelujah/,https://www.cifraclub.com.br/adriana/hallelujah/,https://www.youtube.com/results?search_query=Adriana+Arydes+Hallelujah,Pós-comunhão / oração / ação de graças
HERANÇA,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/heranca/,https://www.cifraclub.com.br/davidson-silva/heranca/,https://www.youtube.com/results?search_query=Davidson+Silva+Herança,Pós-comunhão / oração / ação de graças
HEY PARAÍSO,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/hey-paraiso/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/hey-paraiso/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Hey+Paraíso,Pós-comunhão / oração / ação de graças
HINO DE ADORAÇÃO,Anônimo séc. XV; adaptação: Pe. Jacques Zwaanenburg,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=Rm-c7ruowIc,Louvor final / Corpus Christi / adoração e procissão
HOJE LIVRE SOU,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/hoje-livre-sou/,https://www.cifraclub.com.br/adriana/hoje-livre-sou/,https://www.youtube.com/results?search_query=Adriana+Arydes+Hoje+Livre+Sou,Pós-comunhão / oração / ação de graças
HOJE QUERO SER SÓ TEU,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/hoje-quero-ser-so-teu/,https://www.cifraclub.com.br/davidson-silva/hoje-quero-ser-so-teu/,https://www.youtube.com/results?search_query=Davidson+Silva+Hoje+Quero+Ser+Só+Teu,Pós-comunhão / oração / ação de graças
HOJE É TEMPO DE LOUVAR A DEUS,"","","","","","",Entrada / louvor
HOLOCAUSTO DE AMOR,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/holocausto-de-amor/,https://www.cifraclub.com.br/comunidade-catolica-shalom/holocausto-de-amor/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Holocausto+de+Amor,Pós-comunhão / oração / ação de graças
HOMEM NOVO,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/homem-novo/,https://www.cifraclub.com.br/davidson-silva/homem-novo/,https://www.youtube.com/results?search_query=Davidson+Silva+Homem+Novo,Pós-comunhão / oração / ação de graças
HOMENAGEM A MARIA,Pe. José Bortolini; música: Ir. Míria T. Kolling,Ir. Míria T. Kolling,"","","",https://www.youtube.com/results?search_query=Ir.+M%C3%ADria+T.+Kolling+HOMENAGEM+A+MARIA,Canto final / mariano / Assunção de Nossa Senhora
HOSANA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/hosana/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/hosana/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Hosana,Santo
HOSANA NAS ALTURAS,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/hosana-nas-alturas/,https://www.cifraclub.com.br/comunidade-catolica-shalom/hosana-nas-alturas/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Hosana+nas+Alturas,Santo
HUMANO AMOR DE DEUS,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/humano-amor-de-deus/,https://www.cifraclub.com.br/adriana/humano-amor-de-deus/,"",Reflexão / ação de graças
HÓSTIAS E PRECES DE LOUVOR,"Fr. Joel Postma, OFM","Fr. Joel Postma, OFM","","","","",Apresentação das oferendas / Fiéis Defuntos
IGREJA REUNIDA,Carlos Eduardo Da Silva,Ministério Amor e Adoração,E,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/igreja-reunida/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/igreja-reunida/,"",Entrada / assembleia reunida
IMACULADA,Missionário Shalom,Missionário Shalom,"","","",https://www.youtube.com/results?search_query=Mission%C3%A1rio+Shalom+IMACULADA,Mariana / Imaculada Conceição
IMACULADA MARIA DE DEUS,Repertório católico,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+IMACULADA+MARIA+DE+DEUS,Mariana / Imaculada Conceição
"IMACULADA, MARIA DO POVO","Frei Fabreti, OFM","Frei Fabreti, OFM","","","",https://www.youtube.com/results?search_query=Frei+Fabreti%2C+OFM+IMACULADA%2C+MARIA+DO+POVO,Canto final / mariano / Assunção de Nossa Senhora
IMAGEM E SEMELHANÇA DO AMOR,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/imagem-e-semelhanca-do-amor/,https://www.cifraclub.com.br/comunidade-catolica-shalom/imagem-e-semelhanca-do-amor/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Imagem+e+Semelhança+do+Amor,Pós-comunhão / oração / ação de graças
INCENDEIA MINHA ALMA,Canção Nova,Canção Nova,"",https://www.cifraclub.com.br/cancao-nova/incendeia-minha-alma/,https://www.cifraclub.com.br/cancao-nova/incendeia-minha-alma/,https://www.youtube.com/results?search_query=Canção+Nova+Incendeia+Minha+Alma,Invocação ao Espírito Santo
INCOMPARÁVEL SENHOR,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/incomparavel-senhor/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/incomparavel-senhor/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Incomparável+Senhor,Pós-comunhão / oração / ação de graças
INIGUALÁVEL COMUNHÃO,Ministério Missionário Shalom,Ministério Missionário Shalom,C,https://www.cifraclub.com.br/missionario-shalom/inigualavel-comunhao/,https://www.cifraclub.com.br/missionario-shalom/inigualavel-comunhao/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Inigualável+Comunhão,Comunhão / Eucaristia
IRRESISTIVELMENTE,Nicodemos Costa; Evacy; Gustavo Osterno; Susi Castro; Dudu Cardoso,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/irresistivelmente/,https://www.cifraclub.com.br/comunidade-catolica-shalom/irresistivelmente/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+IRRESISTIVELMENTE,Pós-comunhão / adoração
JARDIM DE DEUS,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/jardim-de-deus/,https://www.cifraclub.com.br/adriana/jardim-de-deus/,https://www.youtube.com/results?search_query=Adriana+Arydes+Jardim+de+Deus,Pós-comunhão / oração / ação de graças
JESUS CRISTO ESTÁ REALMENTE,CNBB / Música Litúrgica,CNBB / Música Litúrgica,"","","",https://www.youtube.com/watch?v=lHrHznnYcdM,Louvor final / Corpus Christi / adoração
JESUS CRISTO MORREU POR TODOS NÓS,"Pe. José Weber, SVD","Pe. José Weber, SVD","","","","","Comunhão / Exaltação da Santa Cruz / 2Cor 5,15"
"JESUS CRISTO, SENDO DEUS",Reginaldo Veloso,Reginaldo Veloso,"","","","","Comunhão / Exaltação da Santa Cruz / Fl 2,6-11"
"JESUS SACRAMENTADO, NOSSO SOL EUCARÍSTICO",Comunidade Católica Shalom,Comunidade Católica Shalom,"","","",https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+JESUS+SACRAMENTADO%2C+NOSSO+SOL+EUCAR%C3%8DSTICO,Adoração eucarística
JESUS VOLTARÁ,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/jesus-voltara/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/jesus-voltara/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Jesus+Voltará,Pós-comunhão / oração / ação de graças
JESUS É O SENHOR,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/jesus-e-o-senhor/,https://www.cifraclub.com.br/comunidade-catolica-shalom/jesus-e-o-senhor/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+JESUS+%C3%89+O+SENHOR,Louvor / senhorio de Jesus
KYRIE - ATO PENITENCIAL TEMPO COMUM,Marcelo Oliveira,Marcelo Oliveira Católico,Em,https://www.cifraclub.com.br/marcelo-oliveira-catolico/kyrie-ato-penitencial-tempo-comum/,https://www.cifraclub.com.br/marcelo-oliveira-catolico/kyrie-ato-penitencial-tempo-comum/,"",Ato penitencial / Tempo Comum
KYRIE ELEISON,Comunidade Católica Shalom,Comunidade Católica Shalom,"",https://www.cifraclub.com.br/comunidade-catolica-shalom/kyrie-eleison/,https://www.cifraclub.com.br/comunidade-catolica-shalom/kyrie-eleison/,https://www.youtube.com/results?search_query=Comunidade+Católica+Shalom+Kyrie+Eleison,Ato penitencial
KYRIE ELEISON (JMJ 2013 - LITÚRGICO),Samara Marques; Rodrigo Lima de Carvalho,JMJ RIO 2013,Bm,https://www.cifraclub.com.br/jmj-rio-2013/kyrie-eleison/,https://www.cifraclub.com.br/jmj-rio-2013/kyrie-eleison/,"",Ato penitencial / Kyrie
KYRIE ELEISON - ATO PENITENCIAL,Géo Maia,Géo Maia,D,https://www.cifraclub.com.br/geo-maia/kyrie-eleison-ato-penitencial/,https://www.cifraclub.com.br/geo-maia/kyrie-eleison-ato-penitencial/,"",Ato penitencial / Batismo e Espírito Santo
LADAINHA DA HUMILDADE,Ministério Missionário Shalom,Ministério Missionário Shalom,"",https://www.cifraclub.com.br/missionario-shalom/ladainha-da-humildade/,https://www.cifraclub.com.br/missionario-shalom/ladainha-da-humildade/,https://www.youtube.com/results?search_query=Ministério+Missionário+Shalom+Ladainha+da+Humildade,Pós-comunhão / oração / ação de graças
LADO A LADO,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/lado-a-lado/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/lado-a-lado/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Lado+a+Lado,Pós-comunhão / oração / ação de graças
LINDO CÉU,Adriana Arydes,Adriana Arydes,C,https://www.cifraclub.com.br/adriana/lindo-ceu/,https://www.cifraclub.com.br/adriana/lindo-ceu/,"",Esperança / céu / ação de graças
LIÇÃO DE AMOR,Padre Fábio de Melo,Padre Fábio de Melo,"",https://www.cifraclub.com.br/pe-fabio-de-melo/licao-de-amor/,https://www.cifraclub.com.br/pe-fabio-de-melo/licao-de-amor/,https://www.youtube.com/results?search_query=Padre+Fábio+de+Melo+Lição+de+Amor,Pós-comunhão / oração / ação de graças
LOUVOR DA TUA GLÓRIA,Comunidade Católica Shalom,Comunidade Católica Shalom,D,https://www.cifraclub.com.br/comunidade-catolica-shalom/louvor-da-tua-gloria/,https://www.cifraclub.com.br/comunidade-catolica-shalom/louvor-da-tua-gloria/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+LOUVOR+DA+TUA+GL%C3%93RIA,Louvor
LOUVOR E GLÓRIA,Davidson Silva,Davidson Silva,"",https://www.cifraclub.com.br/davidson-silva/louvor-e-gloria/,https://www.cifraclub.com.br/davidson-silva/louvor-e-gloria/,https://www.youtube.com/results?search_query=Davidson+Silva+Louvor+e+Glória,Pós-comunhão / oração / ação de graças
LUGAR DE ADORAÇÃO E VIDA,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/lugar-de-adoracao-e-vida/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/lugar-de-adoracao-e-vida/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Lugar+de+Adoração+e+Vida,Adoração
LUZ PARA O MEU CAMINHO,Ministério Amor e Adoração,Ministério Amor e Adoração,E,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/luz-para-o-meu-caminho/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/luz-para-o-meu-caminho/,"",Oração / ação de graças
MAGNIFICAT,Ministério Amor e Adoração,Ministério Amor e Adoração,"",https://www.cifraclub.com.br/ministerio-amor-e-adoracao/magnificat/,https://www.cifraclub.com.br/ministerio-amor-e-adoracao/magnificat/,https://www.youtube.com/results?search_query=Ministério+Amor+e+Adoração+Magnificat,Mariana
MAIS QUE VENCEDOR,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/mais-que-vencedor/,https://www.cifraclub.com.br/adriana/mais-que-vencedor/,https://www.youtube.com/results?search_query=Adriana+Arydes+Mais+que+Vencedor,Pós-comunhão / oração / ação de graças
MAIS ÍNTIMO,Frei Gilson,Frei Gilson,E,https://www.cifraclub.com.br/frei-gilson/mais-intimo/,https://www.cifraclub.com.br/frei-gilson/mais-intimo/,https://www.youtube.com/results?search_query=Frei+Gilson+MAIS+%C3%8DNTIMO,Intimidade com Deus / oração
MAJESTOSA EUCARISTIA,Anjos de Resgate,Anjos de Resgate,"","","",https://www.youtube.com/results?search_query=Anjos+de+Resgate+MAJESTOSA+EUCARISTIA,Adoração eucarística
MARIA,Adriana Arydes,Adriana Arydes,"",https://www.cifraclub.com.br/adriana/maria/,https://www.cifraclub.com.br/adriana/maria/,https://www.youtube.com/results?search_query=Adriana+Arydes+Maria,Mariana
MARIA DA MINHA INFÂNCIA,"Pe. Zezinho, SCJ",Padre Zezinho,"","","",https://www.youtube.com/results?search_query=Padre+Zezinho+MARIA+DA+MINHA+INF%C3%82NCIA,Mariana / devoção filial
"MARIA DE DEUS, SENHORA DA PAZ",Repertório católico,Músicas Católicas,"","","",https://www.youtube.com/results?search_query=M%C3%BAsicas+Cat%C3%B3licas+MARIA+DE+DEUS%2C+SENHORA+DA+PAZ,Mariana / Rainha da Paz
MARIA DE NAZARÉ,"Pe. Zezinho, SCJ",Padre Zezinho,"","","",https://www.youtube.com/results?search_query=Padre+Zezinho+MARIA+DE+NAZAR%C3%89,Mariana / vida e missão de Maria
MARIA E O ANJO,Anjos de Resgate,Anjos de Resgate,"","","",https://www.youtube.com/results?search_query=Anjos+de+Resgate+MARIA+E+O+ANJO,Mariana / Anunciação
MARIA FOI ASSUNTA AO CÉU,"Gradual Romano; música: Frei Wanderson Luiz, O.Carm.","Frei Wanderson Luiz, O.Carm.","","","","",Apresentação das oferendas / Assunção de Nossa Senhora
MARIA PASSA À FRENTE,Frei Gilson,Frei Gilson,"","","",https://www.youtube.com/results?search_query=Frei+Gilson+MARIA+PASSA+%C3%80+FRENTE,Mariana / intercessão
"MARIA, CHEIA DE GRAÇA",Marta Simoni; Marta Simone,Comunidade Católica Shalom,Em,https://www.cifraclub.com.br/comunidade-catolica-shalom/maria-cheia-de-graca/,https://www.cifraclub.com.br/comunidade-catolica-shalom/maria-cheia-de-graca/,https://www.youtube.com/results?search_query=Comunidade+Cat%C3%B3lica+Shalom+MARIA%2C+CHEIA+DE+GRA%C3%87A,Mariana / Imaculada Conceição / devoção a Nossa Senhora
